,Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)",Kosher_Status,Halal_Status,Hinduism_Status,Buddhism_Status,Rastafarianism_Status,Diabetic_Status,Low_Sodium_Status,Low_Fat_Status,Low_Cholesterol_Status,Fructose_Intolerance_Status,Nightshade_Sensitivity_Status,Histamine_Intolerance_Status,Vegan_Status,Vegetarian_Status,Pescatarian_Status,Raw_Food_Diet_Status,Paleo_Status,Keto_Status,Lactose_Intolerance_Status,Gluten_Intolerance_Status,Nut_Allergy_Status,Shellfish_Allergy_Status,Fish_Allergy_Status,Soy_Allergy_Status
1066,Beet juice,Vegetable juice,25,0.72,5.91,4.84,1.1,0.06,0.01,0.012,0.022,0,0,1,0,12,0,0,0,0.009,0.034,0.136,0.05,0,26,26,26,6.2,0.0,0.0,2.5,0.0,0.03,0.0,0.1,12,14,14,0.57,0.21,0.088,0.4,128,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.012,0.0,0.0,0.021,0.002,0.0,0.0,0.0,0.0,0.0,92.45,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,"Carrot juice, 100%",Vegetable juice,40,0.95,9.28,3.91,0.8,0.15,0.027,0.007,0.071,0,0,956,4342,9303,0,2,333,0.092,0.055,0.386,0.217,0,4,4,4,9.9,0.0,0.0,8.5,0.0,1.16,0.0,15.5,24,42,14,0.46,0.18,0.046,0.6,292,66,0,0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.021,0.001,0.002,0.005,0.0,0.0,0.061,0.009,0.0,0.0,0.0,0.0,0.0,88.87,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,"Pumpkin, cooked",Other red and orange vegetables,52,1.05,6.77,2.88,0.5,2.84,0.77,0.985,0.79,2,12,433,3971,3071,0,0,1483,0.047,0.109,0.593,0.075,0,14,14,14,8.8,0.0,0.0,8.0,0.0,1.51,0.0,3.4,22,46,13,0.84,0.33,0.132,0.3,354,131,0,0,0.0,0.019,0.014,0.008,0.018,0.023,0.075,0.43,0.15,0.021,0.941,0.013,0.0,0.7,0.09,0.0,0.001,0.0,0.0,0.0,88.17,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
1069,"Winter squash, raw",Other red and orange vegetables,26,1.0,6.5,2.76,0.5,0.1,0.052,0.013,0.005,0,0,426,4016,3100,0,0,1500,0.05,0.11,0.6,0.061,0,16,16,16,8.2,0.0,0.0,9.0,0.0,1.06,0.0,1.1,21,44,12,0.8,0.32,0.127,0.3,340,1,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.037,0.003,0.006,0.006,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,91.6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1070,"Sweet potato, NFS",Other red and orange vegetables,115,1.58,17.14,6.0,3.0,4.53,1.106,1.477,1.207,3,18,684,7,7997,0,0,0,0.04,0.057,0.406,0.137,0,9,9,9,12.5,0.0,0.0,12.4,0.0,0.88,0.0,3.6,22,37,19,0.4,0.34,0.185,0.0,481,161,0,0,0.0,0.029,0.021,0.012,0.028,0.033,0.104,0.613,0.223,0.023,1.421,0.019,0.0,1.073,0.133,0.0,0.002,0.0,0.001,0.0,75.19,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1071,"Soup, pumpkin","Soups, cream-based",72,1.1,6.86,2.07,1.5,4.7,2.533,1.018,0.325,12,39,368,1986,2961,0,0,14,0.044,0.062,0.402,0.039,4,8,15,12,6.9,0.0,0.0,2.3,0.2,0.61,0.0,8.2,23,27,12,0.74,0.14,0.054,1.0,120,241,0,0,0.0,0.087,0.072,0.046,0.108,0.13,0.412,1.19,0.392,0.086,1.082,0.01,0.0,0.21,0.032,0.0,0.007,0.001,0.002,0.0,86.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,"Tomatoes, raw",Tomatoes,20,0.82,4.04,2.63,1.2,0.31,0.028,0.031,0.083,0,0,32,61,397,6,2813,103,0.046,0.018,0.597,0.078,0,13,13,13,7.0,0.0,0.0,16.3,0.0,0.58,0.0,7.5,10,23,10,0.22,0.15,0.051,0.0,226,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.008,0.001,0.03,0.0,0.0,0.08,0.003,0.0,0.0,0.0,0.0,0.0,94.38,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1
1073,"Tomatoes, scalloped",Vegetable dishes,110,2.7,14.1,3.74,1.9,4.97,2.46,1.004,0.467,12,37,72,83,375,0,2102,101,0.137,0.067,1.276,0.096,7,14,27,21,8.9,0.04,0.0,12.2,0.0,0.48,0.0,8.1,37,48,17,0.89,0.36,0.09,3.3,253,216,0,0,0.0,0.102,0.072,0.042,0.096,0.11,0.357,1.167,0.446,0.05,0.908,0.006,0.0,0.426,0.044,0.001,0.005,0.001,0.002,0.0,77.01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1074,Sun-dried tomatoes,Tomatoes,258,14.11,55.76,37.59,12.3,2.97,0.426,0.487,1.115,0,0,44,0,524,0,45902,1419,0.528,0.489,9.05,0.332,0,68,68,68,104.6,0.0,0.0,39.2,0.0,0.01,0.0,43.0,110,356,194,9.09,1.99,1.423,5.5,3427,107,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.326,0.096,0.011,0.476,0.0,0.0,1.104,0.011,0.0,0.0,0.0,0.0,0.0,14.56,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
1075,"Tomato juice, 100%",Vegetable juice,23,0.86,4.32,2.57,0.4,0.29,0.019,0.005,0.027,0,0,23,0,270,0,9037,60,0.042,0.078,0.086,0.076,0,19,19,19,6.8,0.0,0.0,49.8,0.0,0.32,0.0,2.3,10,19,10,0.3,0.1,0.057,0.5,198,236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.014,0.003,0.0,0.005,0.0,0.0,0.022,0.005,0.0,0.0,0.0,0.0,0.0,93.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,Ketchup,Tomato-based condiments,109,1.08,27.1,21.54,0.3,0.32,0.014,0.015,0.041,0,0,26,0,316,0,12062,161,0.011,0.166,1.434,0.158,0,9,9,9,12.5,0.0,0.0,4.1,0.0,1.46,0.0,3.0,14,26,14,0.39,0.16,0.076,0.7,265,928,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.004,0.001,0.015,0.0,0.0,0.039,0.001,0.0,0.0,0.0,0.0,0.0,68.5,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
1077,"Salsa, NFS",Tomato-based condiments,34,1.44,6.74,3.81,1.8,0.19,0.021,0.018,0.078,0,0,24,0,288,0,6310,211,0.035,0.032,1.12,0.176,0,4,4,4,12.8,0.0,0.0,1.9,0.0,1.22,0.0,4.2,28,32,15,0.42,0.2,0.065,0.9,258,656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.004,0.0,0.017,0.0,0.0,0.074,0.004,0.0,0.0,0.0,0.0,0.0,89.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,"Salsa, red",Tomato-based condiments,34,1.44,6.74,3.81,1.8,0.19,0.021,0.018,0.078,0,0,24,0,288,0,6310,211,0.035,0.032,1.12,0.176,0,4,4,4,12.8,0.0,0.0,1.9,0.0,1.22,0.0,4.2,28,32,15,0.42,0.2,0.065,0.9,258,656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.004,0.0,0.017,0.0,0.0,0.074,0.004,0.0,0.0,0.0,0.0,0.0,89.3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0
1079,"Salsa, red, homemade",Tomato-based condiments,34,1.44,6.74,3.81,1.8,0.19,0.021,0.018,0.078,0,0,24,0,288,0,6310,211,0.035,0.032,1.12,0.176,0,4,4,4,12.8,0.0,0.0,1.9,0.0,1.22,0.0,4.2,28,32,15,0.42,0.2,0.065,0.9,258,656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.004,0.0,0.017,0.0,0.0,0.074,0.004,0.0,0.0,0.0,0.0,0.0,89.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,Taco sauce,Tomato-based condiments,11,1.16,0.72,0.12,0.5,0.68,0.095,0.055,0.361,0,0,74,56,827,61,0,9,0.029,0.076,0.16,0.139,1,0,2,1,0.0,0.0,0.0,4.0,0.0,0.01,0.0,0.2,11,21,11,1.04,0.14,0.068,0.4,115,570,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.081,0.013,0.002,0.052,0.0,0.0,0.358,0.003,0.0,0.0,0.0,0.0,0.0,95.64,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1
1081,"Enchilada sauce, red",Tomato-based condiments,30,0.62,4.87,1.83,0.5,0.91,0.111,0.068,0.276,0,0,36,74,362,62,994,103,0.04,0.055,0.388,0.059,0,5,5,5,0.9,0.0,0.0,0.3,0.0,0.7,0.0,2.8,7,11,6,0.67,0.09,0.031,0.4,101,547,0,0,0.0,0.0,0.0,0.0,0.003,0.0,0.005,0.067,0.029,0.001,0.064,0.003,0.0,0.245,0.031,0.0,0.0,0.0,0.0,0.0,91.78,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
1082,Hot Thai sauce,Mustard and other condiments,74,1.03,16.58,16.07,0.5,0.66,0.085,0.049,0.321,0,0,66,50,735,54,0,8,0.026,0.07,0.142,0.123,1,0,2,1,0.0,0.0,0.0,3.6,0.0,0.01,0.0,0.2,12,18,10,0.94,0.13,0.061,0.5,103,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.072,0.011,0.002,0.046,0.0,0.0,0.318,0.002,0.0,0.0,0.0,0.0,0.0,76.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,Spaghetti sauce,"Pasta sauces, tomato-based",51,1.41,8.05,5.5,1.8,1.48,0.17,0.376,0.504,2,0,32,0,390,0,12700,190,0.024,0.061,3.917,0.173,0,13,13,13,13.7,0.0,0.0,2.0,0.0,2.4,0.0,13.9,27,34,18,0.78,0.2,0.081,1.4,319,419,0,0,0.0,0.002,0.0,0.002,0.003,0.001,0.002,0.107,0.039,0.002,0.365,0.008,0.0,0.429,0.079,0.0,0.0,0.0,0.0,0.0,87.4,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
1084,Barbecue sauce,Tomato-based condiments,172,0.82,40.77,33.24,0.9,0.63,0.045,0.082,0.101,0,0,11,0,133,2,4550,88,0.023,0.056,0.597,0.075,0,2,2,2,7.1,0.0,0.0,0.6,0.0,0.8,0.0,1.8,33,20,13,0.64,0.17,0.072,1.3,232,1027,0,0,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.025,0.008,0.0,0.045,0.012,0.023,0.08,0.021,0.0,0.0,0.0,0.0,0.0,54.71,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1
1085,Buffalo sauce,Mustard and other condiments,11,1.21,0.75,0.12,0.6,0.71,0.1,0.057,0.377,0,0,77,58,864,64,0,9,0.03,0.079,0.167,0.145,1,0,2,1,0.0,0.0,0.0,4.2,0.0,0.01,0.0,0.2,14,22,11,1.09,0.15,0.07,0.5,120,2917,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.085,0.013,0.002,0.055,0.0,0.0,0.374,0.003,0.0,0.0,0.0,0.0,0.0,89.48,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
1086,Steak sauce,Tomato-based condiments,95,1.25,22.04,9.82,1.5,0.23,0.0,0.0,0.0,0,0,15,0,177,0,12564,0,0.034,0.054,0.913,0.105,0,8,8,8,11.5,0.0,0.0,6.8,0.0,1.16,0.0,2.2,19,33,17,1.37,0.34,0.189,0.8,312,1647,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1
1087,Cocktail sauce,Tomato-based condiments,128,1.36,28.22,11.83,1.8,1.05,0.0,0.0,0.0,0,0,18,7,212,0,6753,2,0.021,0.047,0.82,0.08,0,17,17,17,11.0,0.0,0.0,11.6,0.0,1.08,0.0,4.4,26,30,17,0.83,0.38,0.111,2.2,309,1262,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.67,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
1088,"Soup, tomato","Soups, broth-based",19,0.65,3.64,2.01,0.9,0.41,0.057,0.142,0.158,0,0,36,109,376,0,4918,43,0.018,0.026,0.479,0.055,0,7,7,7,5.7,0.0,0.0,5.9,0.0,0.61,0.0,4.1,11,17,9,0.44,0.14,0.08,0.2,169,244,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.012,0.001,0.138,0.002,0.0,0.143,0.015,0.0,0.0,0.0,0.0,0.0,94.22,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1
1089,"Raw vegetable, NFS",Other vegetables and combinations,30,1.19,5.83,2.53,2.0,0.26,0.034,0.021,0.066,0,0,206,921,2025,1,703,359,0.05,0.074,0.658,0.113,0,39,39,39,10.0,0.0,0.0,28.7,0.0,0.42,0.0,37.5,35,37,13,0.26,0.21,0.04,0.4,263,53,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.005,0.001,0.02,0.0,0.0,0.069,0.007,0.0,0.0,0.0,0.0,0.0,92.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,"Sprouts, NFS",Other vegetables and combinations,30,3.04,5.94,4.13,1.8,0.18,0.046,0.022,0.058,0,0,1,6,6,6,0,0,0.084,0.124,0.749,0.088,0,61,61,61,14.4,0.0,0.0,13.2,0.0,0.1,0.0,33.0,13,54,21,0.91,0.41,0.164,0.6,149,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.008,0.0,0.022,0.0,0.0,0.042,0.016,0.0,0.0,0.0,0.0,0.0,90.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,"Alfalfa sprouts, raw",Other vegetables and combinations,23,3.99,2.1,0.2,1.9,0.69,0.069,0.056,0.409,0,0,8,6,87,6,0,0,0.076,0.126,0.481,0.034,0,36,36,36,14.4,0.0,0.0,8.2,0.0,0.02,0.0,30.5,32,70,27,0.96,0.92,0.157,0.6,79,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.059,0.008,0.0,0.056,0.0,0.0,0.234,0.175,0.0,0.0,0.0,0.0,0.0,92.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,Artichoke,Other vegetables and combinations,53,2.89,11.95,0.99,5.7,0.34,0.079,0.011,0.145,0,0,1,0,8,0,0,464,0.05,0.089,1.11,0.081,0,89,89,89,34.4,0.0,0.0,7.4,0.0,0.19,0.0,14.8,21,73,42,0.61,0.4,0.127,0.2,286,60,0,0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.066,0.006,0.0,0.011,0.0,0.0,0.105,0.038,0.0,0.0,0.0,0.0,0.0,84.08,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1
1093,"Asparagus, raw",Other vegetables and combinations,20,2.2,3.88,1.88,2.1,0.12,0.04,0.0,0.05,0,0,38,9,449,0,0,710,0.143,0.141,0.978,0.091,0,52,52,52,16.0,0.0,0.0,5.6,0.0,1.13,0.0,41.6,24,52,14,2.14,0.54,0.189,2.3,202,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,93.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,"Bean sprouts, raw",Other vegetables and combinations,30,3.04,5.94,4.13,1.8,0.18,0.046,0.022,0.058,0,0,1,6,6,6,0,0,0.084,0.124,0.749,0.088,0,61,61,61,14.4,0.0,0.0,13.2,0.0,0.1,0.0,33.0,13,54,21,0.91,0.41,0.164,0.6,149,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.008,0.0,0.022,0.0,0.0,0.042,0.016,0.0,0.0,0.0,0.0,0.0,90.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1095,"Green beans, raw",String beans,40,1.97,7.41,2.33,3.0,0.28,0.05,0.01,0.113,0,0,35,69,379,0,0,640,0.06,0.104,0.731,0.121,0,33,33,33,15.3,0.0,0.0,12.2,0.0,0.41,0.0,43.9,40,41,28,0.65,0.35,0.098,0.6,290,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.008,0.0,0.008,0.0,0.0,0.044,0.069,0.0,0.0,0.0,0.0,0.0,89.66,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
1096,"Beets, raw",Other vegetables and combinations,43,1.61,9.56,6.76,2.8,0.17,0.027,0.032,0.06,0,0,2,0,20,0,0,0,0.031,0.04,0.334,0.067,0,109,109,109,6.0,0.0,0.0,4.9,0.0,0.04,0.0,0.2,16,40,23,0.8,0.35,0.075,0.7,325,78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.001,0.0,0.032,0.0,0.0,0.055,0.005,0.0,0.0,0.0,0.0,0.0,87.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,"Broccoflower, raw",Other vegetables and combinations,31,2.95,6.09,3.03,3.2,0.3,0.047,0.028,0.133,0,0,8,0,93,0,0,42,0.08,0.102,0.734,0.222,0,57,57,57,57.1,0.0,0.0,88.1,0.0,0.04,0.0,20.2,33,62,20,0.73,0.64,0.041,0.6,300,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.004,0.004,0.023,0.001,0.001,0.029,0.104,0.0,0.0,0.0,0.0,0.0,89.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,"Brussels sprouts, raw",Other vegetables and combinations,43,3.38,8.95,2.2,3.8,0.3,0.062,0.023,0.153,0,0,38,6,450,0,0,1590,0.139,0.09,0.745,0.219,0,61,61,61,19.1,0.0,0.0,85.0,0.0,0.88,0.0,177.0,42,69,23,1.4,0.42,0.07,1.6,389,25,0,0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.053,0.003,0.002,0.019,0.0,0.0,0.045,0.099,0.0,0.001,0.0,0.0,0.0,86.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1
1099,"Cabbage, green, raw",Cabbage,31,0.96,6.38,3.2,2.5,0.23,0.034,0.017,0.017,0,0,5,33,42,0,0,30,0.061,0.04,0.234,0.138,0,43,43,43,10.7,0.0,0.0,40.3,0.0,0.15,0.0,59.4,42,27,14,0.07,0.21,0.0,0.3,207,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.017,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,91.87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1100,"Cabbage, Chinese, raw",Cabbage,13,1.5,2.18,1.18,1.0,0.2,0.027,0.015,0.096,0,0,223,1,2681,0,0,40,0.04,0.07,0.5,0.194,0,66,66,66,6.4,0.0,0.0,45.0,0.0,0.09,0.0,45.5,105,37,19,0.8,0.19,0.021,0.5,252,65,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.024,0.001,0.0,0.015,0.0,0.0,0.042,0.055,0.0,0.0,0.0,0.0,0.0,95.32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1101,"Cabbage, red, raw",Cabbage,34,1.24,6.79,3.83,2.1,0.21,0.021,0.012,0.08,0,0,56,0,670,0,20,329,0.064,0.069,0.418,0.179,0,18,18,18,17.1,0.0,0.0,53.9,0.0,0.11,0.0,32.3,31,36,13,0.0,0.24,0.004,0.6,269,12,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.019,0.001,0.0,0.012,0.0,0.0,0.034,0.045,0.0,0.001,0.0,0.0,0.0,91.14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1102,"Cactus, raw",Other vegetables and combinations,16,1.32,3.33,1.15,2.2,0.09,0.016,0.018,0.05,0,0,23,48,250,0,0,0,0.012,0.041,0.41,0.07,0,3,3,3,7.3,0.0,0.0,9.3,0.0,0.0,0.0,5.3,164,16,52,0.59,0.25,0.052,0.7,257,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.002,0.002,0.017,0.0,0.0,0.044,0.005,0.0,0.0,0.0,0.0,0.0,94.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,"Cauliflower, raw",Other vegetables and combinations,25,1.92,4.97,1.91,2.0,0.28,0.13,0.034,0.031,0,0,0,0,0,0,0,1,0.05,0.06,0.507,0.184,0,57,57,57,44.3,0.0,0.0,48.2,0.0,0.08,0.0,15.5,22,44,15,0.42,0.27,0.039,0.6,299,30,0,0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.093,0.009,0.003,0.027,0.0,0.0,0.016,0.015,0.0,0.0,0.0,0.0,0.0,92.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,"Celery, raw",Other vegetables and combinations,17,0.49,3.32,1.34,1.6,0.16,0.042,0.032,0.079,0,0,22,0,270,0,0,283,0.021,0.057,0.32,0.052,0,36,36,36,6.1,0.0,0.0,3.1,0.0,0.27,0.0,29.3,46,22,11,0.0,0.09,0.0,0.0,265,97,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.037,0.004,0.001,0.031,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,95.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,"Fennel bulb, raw",Other vegetables and combinations,31,1.24,7.3,3.93,3.1,0.2,0.09,0.068,0.169,0,0,48,0,578,0,0,607,0.01,0.032,0.64,0.047,0,27,27,27,13.2,0.0,0.0,12.0,0.0,0.58,0.0,62.8,49,50,17,0.73,0.2,0.066,0.7,414,52,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.079,0.009,0.002,0.065,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,90.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,"Basil, raw",Not included in a food category,23,3.15,2.65,0.3,1.6,0.64,0.041,0.088,0.389,0,0,264,0,3142,46,0,5650,0.034,0.076,0.902,0.155,0,68,68,68,11.4,0.0,0.0,18.0,0.0,0.8,0.0,414.8,177,56,64,3.17,0.81,0.385,0.3,295,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.005,0.0,0.088,0.0,0.0,0.073,0.316,0.0,0.0,0.0,0.0,0.0,92.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,"Chives, raw",Not included in a food category,30,3.27,4.35,1.85,2.5,0.73,0.146,0.095,0.267,0,0,218,0,2612,0,0,323,0.078,0.115,0.647,0.138,0,105,105,105,5.2,0.0,0.0,58.1,0.0,0.21,0.0,212.7,92,58,42,1.6,0.56,0.157,0.9,296,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.103,0.009,0.0,0.095,0.0,0.0,0.252,0.015,0.0,0.0,0.0,0.0,0.0,90.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1108,"Cilantro, raw",Not included in a food category,23,2.13,3.67,0.87,2.8,0.52,0.014,0.275,0.04,0,0,337,36,3930,202,0,865,0.067,0.162,1.114,0.149,0,62,62,62,12.8,0.0,0.0,27.0,0.0,2.5,0.0,310.0,67,48,26,1.77,0.5,0.225,0.9,521,46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.001,0.002,0.273,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,92.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1109,"Corn, raw",Corn,86,3.27,18.7,6.26,2.0,1.35,0.325,0.432,0.487,0,0,9,16,47,115,0,644,0.155,0.055,1.77,0.093,0,42,42,42,23.0,0.0,0.0,6.8,0.0,0.07,0.0,0.3,2,89,37,0.52,0.46,0.054,0.6,270,15,0,0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.262,0.045,0.004,0.419,0.006,0.0,0.472,0.014,0.0,0.001,0.0,0.0,0.0,76.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
